Phys_X,Phys_Y,Chip_X,Chip_Y,Chip_ID,RA,DEC,Offaxis_Angle
5780.59,2635.67,60.1535625541,406.850566604,5,53.11345085305217,-36.33908693705819,18.2808323879
5854.09,2636.17,2.7983431091,452.975414687,5,53.10098131835814,-36.33898827540909,18.7376421692
5744.423333,2654.336667,100.143104136,398.992166288,5,53.11959590775913,-36.33655033554658,17.956687886
5684.423333,2702.336667,177.082513793,399.317877158,5,53.12979761063551,-36.3300137592928,17.3272738508
5884.756667,2742.67,44.9998115289,555.611386537,5,53.09583493021906,-36.32442060512972,18.3918187042
5795.756667,2794.003333,146.765754024,540.508448354,5,53.11095741091831,-36.31744240397042,17.5562193164
5722.756667,2795.003333,204.66235384,495.871501674,5,53.12333945692943,-36.31733482428475,17.079899116
5773.756667,2815.336667,177.29971031,543.556981953,5,53.11469943369914,-36.31453581131815,17.3066515107
5606.423333,2820.336667,311.697629426,443.362644861,5,53.14308215339994,-36.31391637890948,16.2111394852
5773.59,2852.67,200.6585753,572.743391097,5,53.11474623892794,-36.30943376507554,17.1214583108
5507.89,2856.87,411.736258728,410.716055128,5,53.15980902906833,-36.30895805955042,15.4034703668
5589.756667,2862.336667,350.90587216,465.943803726,5,53.14592744583281,-36.30818248210498,15.8854153332
5728.09,2866.67,245.067648042,555.416538069,5,53.12246948946782,-36.30753850136791,16.7539097345
5512.59,2874.67,419.123632952,427.605624972,5,53.15901940425649,-36.30652384354158,15.3367031771
5574.423333,2877.003333,372.06162502,467.91001294,5,53.14853425942734,-36.30618353028781,15.7118898202
5579.09,2885.17,373.481404002,477.220918802,5,53.1477464388148,-36.3050657847141,15.6989691029
5716.84,2891.42,269.293257479,567.834452631,5,53.12438923914878,-36.30416045006537,16.5584304782
5619.84,2896.17,348.353489889,511.206351892,5,53.1408408416462,-36.30354781057395,15.9031452016
5577.256667,2907.336667,388.711629996,493.471250014,5,53.14806705958762,-36.30203704465355,15.5728781779
5530.09,2912.003333,428.621664069,467.784645489,5,53.15606746293531,-36.30141573696491,15.2488415288
5601.09,2914.67,374.574966823,514.054159981,5,53.14402872332806,-36.30102632097389,15.6885146312
5498.423333,2917.67,456.992789836,452.526931592,5,53.16143974203265,-36.30065205644642,15.0196302432
5626.59,2942.67,371.989189379,551.888314629,5,53.13971723026096,-36.29719045765829,15.7141782522
5782.59,2943.67,250.215925289,649.73807558,5,53.11326532009355,-36.29699372924696,16.7485887857
5624.756667,2961.003333,384.834362896,565.131190566,5,53.14003639535247,-36.29468561763355,15.6120576775
5402.59,2963.42,560.648253223,428.791285801,5,53.17770838821486,-36.29443072317482,14.1784318708
5453.34,2980.42,531.407315329,473.706459174,5,53.16910995329653,-36.29209124789867,14.4063830487
5485.59,3013.67,526.792011089,519.859681422,5,53.16365542035266,-36.28753655109126,14.4423751809
5665.09,3020.67,390.313108668,637.039291955,5,53.13322510716061,-36.28651636556099,15.5968982223
5648.756667,3030.336667,409.142551902,634.460568549,5,53.13599876340995,-36.28520137695558,15.4416196619
5365.59,3033.67,633.387440634,460.884664677,5,53.1840085624529,-36.28484142893135,13.5738326842
5429.59,3073.17,607.749845444,531.69698062,5,53.17317350913756,-36.27942324231321,13.7806433966
5450.09,3087.42,600.531861504,555.632496075,5,53.16970386507637,-36.27746917997762,13.8442072284
5206.423333,3100.336667,799.749668359,414.151976587,5,53.21101581445446,-36.27577573339349,12.2294207999
5476.423333,3110.336667,594.129408373,589.997164732,5,53.16524906206121,-36.27432866795427,13.9078264338
5565.59,3110.67,524.377029584,645.739633804,5,53.15013385658914,-36.27425272604241,14.5073946137
5382.29,3122.47,675.535573719,540.945066103,5,53.18121100127472,-36.27270048261671,13.227097392
5224.09,3144.003333,813.057705867,459.403990377,5,53.20803548851714,-36.26980329242949,12.1035197297
5114.09,3158.67,908.490102556,402.466304835,5,53.22668592474918,-36.26782708864016,11.3474508508
5188.423333,3161.67,852.034197103,451.072042308,5,53.21408702102692,-36.26739834040742,11.7868760732
5168.09,3165.42,870.321129286,441.362282551,5,53.21753479154371,-36.26689110632594,11.6405338023
5363.59,3194.67,735.130224248,585.955257906,5,53.18440798684238,-36.26283897791936,12.7530227488
5262.09,3200.003333,818.085909593,526.984221047,5,53.2016134479509,-36.26213961990058,12.0578723091
5026.84,3203.92,1005.10213185,383.678775807,5,53.24148770761014,-36.26166329983361,10.5720265897
5415.84,3214.17,706.267630197,633.765255391,5,53.1755595570429,-36.26015785186215,13.0148755892
5116.09,3220.92,945.653049018,452.550149862,5,53.22636568336475,-36.25931917981934,11.0203598825
5226.09,3238.17,870.079077604,534.528590062,5,53.20772792518974,-36.256933439817,11.633279026
5070.09,3241.17,994.344809729,439.815305386,5,53.23416790456316,-36.25656266434656,10.6266944427
5232.84,3263.42,880.493574488,558.538967902,5,53.20659240974329,-36.25348081159483,11.5537852537
5291.423333,3275.336667,841.943245667,604.340230288,5,53.19666828670193,-36.25183589285746,11.888965708
5267.09,3283.17,865.909253521,595.345315768,5,53.20079476962403,-36.25077222743532,11.6882967372
