Phys_X,Phys_Y,Chip_X,Chip_Y,Chip_ID,RA,DEC,Offaxis_Angle
4521.23067,3472.450239,910.262888651,223.670467788,7,51.51868076436651,-21.38319771246926,6.1899573426
2626.49,3505.1,717.559128778,712.323143196,3,51.7967637762993,-21.37860922006571,12.992949683
4367.083939,3567.263636,786.671282947,356.204843757,7,51.54130832603573,-21.37024674964189,4.87404526002
4371.884444,3571.316667,783.643445871,350.690135086,7,51.54060397201204,-21.36969266925886,4.86263219292
4058.108919,3610.17027,683.372162479,650.996022015,7,51.58665228039887,-21.36438742725539,4.00030817818
4009.856667,3651.019048,633.720557842,690.271323558,7,51.59373286053536,-21.35880438328971,3.72139259269
4226.165352,3662.24507,665.534029844,475.72141226,7,51.56199076283247,-21.35726956887535,3.71624043156
3845.41,3676.82,575.831262022,846.58195651,7,51.61786375777452,-21.35527471751745,4.01027179503
4065.953158,3691.057895,605.526814252,627.27905679,7,51.58550079363047,-21.35333283222393,3.33404685655
2375.356667,3693.9,926.900932536,948.292301694,3,51.83357645218624,-21.35275570659974,14.4942604934
4486.201111,3717.233333,663.04955317,209.583674882,7,51.52383506190206,-21.34974590923247,4.45909507601
4098.541852,3731.825926,571.962352777,587.217468239,7,51.58071874326463,-21.34776126522072,2.99037352577
4451.912222,3748.233333,625.830411548,237.102813127,7,51.5288679868266,-21.34551087529182,4.08033257595
3932.904286,3749.042857,522.263227221,746.396870988,7,51.60502307576021,-21.34540658183814,3.14916237329
4065.5025,3752.8375,544.79518383,615.488005121,7,51.58556666175142,-21.34488962455433,2.82947181947
3958.847895,3754.952632,521.599520547,719.7605731,7,51.60121620801072,-21.34459941100982,3.01958959177
4201.594762,3759.947619,564.764572728,480.492905205,7,51.56559774665195,-21.34391726665162,2.89115250185
3711.315,3760.025,467.604692351,961.732746858,7,51.63753671760114,-21.34389794481043,4.19390240804
4115.631176,3775.007843,532.959286263,561.891949191,7,51.57821126540365,-21.34185971747788,2.64089867718
4108.902121,3776.687879,529.977705324,568.164465065,7,51.57919861200676,-21.34163012620582,2.62443002278
