Phys_X,Phys_Y,Chip_X,Chip_Y,Chip_ID,RA,DEC,Offaxis_Angle
5625.11,2489.54,71.5077325477,411.240989411,5,53.13968210281302,-36.35926378652393,18.1864043394
5718.943333,2513.373333,20.4270868492,493.635468429,5,53.12376991591533,-36.35597117180646,18.5879951644
5586.11,2540.04,134.718476578,420.539907036,5,53.14632276746552,-36.35237640885616,17.6660507105
5664.61,2570.54,99.3245205862,497.08368853,5,53.13301653921525,-36.34817938312689,17.9417723142
5702.61,2582.04,79.9225661923,531.783525481,5,53.12657427346819,-36.3465932877484,18.101559617
5634.61,2616.04,152.572424128,509.033364861,5,53.13812760288457,-36.34197237075423,17.5055412207
5703.61,2626.54,110.12763629,564.557234808,5,53.12642579121319,-36.34051138140412,17.8592528817
5677.61,2630.54,131.650831704,549.370832348,5,53.13083884395107,-36.33997466683246,17.6802070522
5520.11,2639.54,251.44726296,446.396518881,5,53.15756408375803,-36.33880143623394,16.7033266708
5501.61,2650.706667,272.544465248,441.588748602,5,53.16070739950771,-36.33728163097938,16.5318788624
5607.61,2675.04,213.039850074,532.799831433,5,53.14273494980446,-36.33391908670757,17.0116538751
5417.61,2677.54,351.748835195,402.552042738,5,53.17496888656078,-36.33364193514183,15.8976949363
5772.61,2678.54,96.5239873606,649.99714613,5,53.11474503899998,-36.33337772265339,18.0024406369
5416.61,2690.706667,361.620236172,411.348524342,5,53.17514368240087,-36.33184284139545,15.8132335436
5591.943333,2697.373333,239.854960914,538.011009257,5,53.14540264303393,-36.33087257542024,16.7926700236
5656.61,2698.706667,194.163345501,583.9153196,5,53.13443320269334,-36.33066667293961,17.1763996586
5624.11,2706.04,222.689048432,566.614323667,5,53.13994980742287,-36.32967650039358,16.9383148005
5487.11,2719.54,330.83483923,481.131275409,5,53.1631957446781,-36.32787945509391,16.0472122413
5635.61,2719.04,223.433296444,583.978133357,5,53.13800490330198,-36.32789564439805,16.93689427
5474.943333,2731.373333,347.829704847,481.205766632,5,53.16526445772688,-36.32626630143118,15.9080488418
5606.276667,2738.706667,258.24749159,577.768720619,5,53.142989618091,-36.32521864066695,16.6501678272
5485.276667,2745.706667,350.341645567,498.71995917,5,53.16351750377048,-36.32430402262484,15.886195512
5630.61,2753.373333,250.898450248,605.253129763,5,53.13886867149849,-36.32320536150652,16.719591229
5530.943333,2758.04,325.991665903,539.349062016,5,53.15577647851095,-36.32260304962056,16.0875696383
5334.61,2780.04,482.819244212,418.756297573,5,53.18908717280334,-36.31965930832971,14.8189742192
5561.11,2804.04,336.213155569,593.475085481,5,53.15067948655079,-36.31630602427252,16.0172682085
5355.276667,2814.706667,492.013031469,458.110041834,5,53.18559468256519,-36.31491542606005,14.7314394081
5259.61,2819.04,563.991809757,394.745054552,5,53.20182187205531,-36.31435096855586,14.1665415951
5343.61,2898.706667,558.801983201,510.555283608,5,53.18760443876883,-36.30343910672185,14.1790266533
5528.61,2899.54,426.012738222,639.731289534,5,53.15623226444157,-36.30326586803775,15.3048255493
5271.61,2927.706667,630.86226419,481.420409838,5,53.19982440986588,-36.29949671227252,13.5905760675
5457.61,2945.373333,509.050463487,623.426518533,5,53.1682909632391,-36.29702582634176,14.6173475413
5293.943333,2951.706667,631.441432683,514.243274774,5,53.19604578043671,-36.29621041380341,13.5842936973
5324.11,2966.04,619.655261469,545.541841811,5,53.19093574603264,-36.29424279459948,13.6842662955
5214.943333,2991.706667,716.193239079,488.172985717,5,53.20945475162635,-36.29076571843944,12.891121468
5434.11,2993.54,559.466772029,641.816331354,5,53.17229486378562,-36.290450739929,14.2162721665
