Phys_X,Phys_Y,Chip_X,Chip_Y,Chip_ID,RA,DEC,Offaxis_Angle
4066.909398,4173.579398,296.228088089,533.778929534,7,184.7357726519973,47.3072934885326,0.677025946824
3954.105455,4176.389091,359.057773742,439.864591395,7,184.7585088986567,47.3076740521416,1.33884859732
4297.61814,4187.741628,184.568186754,736.523701632,7,184.6892709976237,47.30922200098177,1.81094789672
4048.102373,4205.721525,333.495826506,535.095532709,7,184.7395640860819,47.31168598646476,0.979605614107
4092.538723,4216.825745,319.074844927,578.634823444,7,184.7306070586219,47.31320397421879,0.987205619507
4146.08,4223.95,296.407793377,627.743008465,7,184.7198142310282,47.31417719067376,1.12138343221
4059.71,4248.563333,363.514774829,567.873764192,7,184.7372251542032,47.31754120766848,1.28289410299
4039.630175,4257.791404,382.081755654,555.833805964,7,184.7412733732879,47.31880204477309,1.40239397593
4341.06,4280.957273,240.137751515,823.226211837,7,184.6805029374398,47.32195804536624,2.51185215334
4423.603011,4281.412796,196.287255005,893.292983005,7,184.6638614164277,47.322011958866,3.08116073449
4234.702857,4290.944286,305.583794531,738.611506815,7,184.7019448248899,47.32333013297823,1.95615288548
4010.643333,4303.813333,436.545784637,555.977713419,7,184.7471191073033,47.32509097563931,1.83998527544
4365.202857,4302.944286,245.797986125,855.431590728,7,184.6756324304059,47.32496074466454,2.77858326233
4029.893333,4343.23,459.571773719,593.384989546,7,184.7432392631408,47.33047843726371,2.09561143117
4257.862521,4410.145966,394.004199561,822.083594067,7,184.6972654646426,47.3396197940603,2.89230630229
4082.108571,4413.298571,490.859539409,675.104016353,7,184.7327110026702,47.34005521878766,2.60042685971
4099.645714,4418.344286,485.729319002,692.642617722,7,184.7291741283095,47.34074483432202,2.63924868394
4187.587027,4433.175946,451.146558299,774.980024655,7,184.7114373135625,47.34277036064346,2.85999593561
4044.06,4526.23,606.778043438,703.440167615,7,184.7403876746964,47.35548871837466,3.54992474488
4070.341457,4537.819404,602.496908724,731.882347036,7,184.7350858773244,47.35707296745397,3.62516927861
5030.893333,5004.23,434.461976651,732.257321129,3,184.5410736249263,47.42066082731606,10.6822232133
5324.726667,2313.896667,136.405172145,601.228245054,5,184.4834409982494,47.05287431007725,17.7509301697
5501.393333,2753.23,413.451122499,986.019911997,5,184.4476854378044,47.11283350471943,15.938499761
3945.56,3370.23,726.037017339,0.546702463737,6,184.7601680076197,47.19749864842004,6.08266387227
3920.56,3452.23,808.804247887,23.3186386858,6,184.7652038906984,47.20870384467997,5.47645803004
4342.353103,3562.85069,676.442235942,439.433150429,6,184.6803341054267,47.22381677794409,4.81797894197
4227.226667,3729.674444,879.253440683,431.389802128,6,184.703490333006,47.24662363280405,3.19326954579
4074.16,3767.03,992.8545459,321.896491159,6,184.7343065397912,47.25173181355765,2.70785692897
5308.56,3907.23,944.885799077,258.484584145,2,184.4856830760879,47.27063333434405,10.0593113102
4713.226667,4023.674444,867.641677831,1000.0551831,6,184.6055534276901,47.2867394807103,5.09229097342
4352.36,4153.53,126.291897039,764.495122826,7,184.6782417427922,47.30454199375957,2.14953803717
3916.429565,4185.795217,387.205309121,413.03567642,7,184.7661035451018,47.30895740917209,1.64815902261
3493.16,4195.43,622.19025799,60.1586447919,7,184.8514205943486,47.3102155704021,5.01345190587
3869.741818,4205.002727,428.473322555,383.83638029,7,184.7755161904571,47.31157907851055,2.0613191862
4075.56,4238.23,346.279671119,575.743420794,7,184.7340297975496,47.31612914739331,1.1748020374
5166.56,4282.23,863.688332334,652.349281813,2,184.5140745414549,47.32194014938917,8.9056634439
3538.56,4403.43,773.805379229,210.031829769,7,184.8423300891365,47.3386514909645,5.2216840566
4217.36,4529.43,516.611501623,851.748343752,7,184.7054263636831,47.35592395273628,3.6857642709
4232.31,4659.53,618.650232039,934.116356512,7,184.7024011372389,47.37370357969325,4.74925644618
